7544,OPEN,RUN sudo passwd alice without key any word,kind/question,2020-12-18 06:28:13 +0000 UTC
7542,OPEN,docker-compose over SSH returns ChannelException(2, 'Connect failed'),kind/bug,2020-12-11 11:25:16 +0000 UTC
7517,OPEN,Please add "docker-compose config --images" to list the images in the docker-compose.yml file.,kind/feature,2020-06-08 14:23:08 +0000 UTC
7500,OPEN,docker-compose down only partially brings down stack and then stalls,,2020-06-28 19:06:21 +0000 UTC
7495,OPEN,`docker-compose up` fails in WSL 2 environment,kind/bug,2021-02-09 03:47:16 +0000 UTC
7494,OPEN,Add plugin system,kind/feature,2020-06-02 15:01:41 +0000 UTC
7493,OPEN,Allow using wildcards in Docker-Compose network > aliases,kind/feature,2021-02-11 14:59:22 +0000 UTC
7489,OPEN,[compose-in-a-container] Setup volume mounts based on -f, --file argument for compose in a container.,kind/feature,2020-07-16 07:04:24 +0000 UTC
7482,OPEN,up -d command halts / freezes for long running applications,kind/bug,2020-11-23 20:52:06 +0000 UTC
7481,OPEN,docker-run + --use-aliases behaviour,kind/feature,2020-05-26 13:31:04 +0000 UTC
7474,OPEN,append additional hostname alias to existing container,kind/feature,2020-05-20 19:51:31 +0000 UTC
7472,OPEN,Please support ARM64 binary downloads,kind/bug,2021-02-17 03:25:00 +0000 UTC
7463,OPEN,Completion in a separate repo,kind/feature,2020-05-17 08:54:53 +0000 UTC
7460,OPEN,DOCKER_CONTEXT on `.env` file,kind/feature,2020-07-24 22:49:25 +0000 UTC
7454,OPEN,"Conflict. The container name is already in use by container" - running on host vs inside container,kind/bug,2020-10-26 12:37:09 +0000 UTC
7450,OPEN,At case command set "/bin/bash -c" in docker-compose.yml, container stops instantaneously in spite of tty: true.,kind/bug,2020-11-08 09:24:53 +0000 UTC
7444,OPEN,`up` does not re-use anonymous volume even without `--renew-anon-volumes` given,kind/bug,2020-11-18 23:11:24 +0000 UTC
7443,OPEN,Support of Kompose to be able to deploy to virtually any orchestration engine,kind/feature,2020-05-11 09:19:55 +0000 UTC
7439,OPEN,Add --compress option to docker-compose up,kind/feature,2020-05-10 17:09:06 +0000 UTC
7437,OPEN,Option on `docker-compose up` to do a pull even if it already exists,kind/feature,2020-08-20 02:54:23 +0000 UTC
7436,OPEN,Source secret file needs world readable permission,kind/bug,2021-01-15 15:01:14 +0000 UTC
7434,OPEN,Context not found when given on docker-compose CLI,kind/bug,2020-09-25 16:23:17 +0000 UTC
7431,OPEN,[RFC] deprecate push --ignore-push-failures and implement --skip-missing or --ignore-missing,kind/feature,2020-05-06 10:37:54 +0000 UTC
7429,OPEN,Docker-compose push skips second service if first has same image but no build section,kind/bug,2020-12-03 14:57:28 +0000 UTC
7423,OPEN,docker-compose does not set environment variables,kind/bug,2021-02-21 11:55:55 +0000 UTC
7408,OPEN,docker-compose logs no output if using log-driver,kind/bug,2020-08-26 18:12:57 +0000 UTC
7405,OPEN,Ubuntu 20.04 I can not connect ports after VMware suspend,kind/bug,2020-11-04 12:55:50 +0000 UTC
7402,OPEN,Hierarchical resolution of environment files,kind/feature,2020-04-27 15:27:13 +0000 UTC
7400,OPEN,May I translate this project into Korean?,kind/feature,2020-04-27 07:31:38 +0000 UTC
7398,OPEN,Generating package-lock.json for production branch with mounted volumes during build,kind/feature,2020-04-24 11:59:02 +0000 UTC
